Brand,Year,Model,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,State,Cylinders,Capacity
Mazda,2020,3,2020 Mazda 3 G20 Evolve,USED,Automatic,Front,Unleaded,6.1,26476.0,White / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.0
Mercedes-Benz,2014,C250,2014 Mercedes-Benz C250 Bluetec,USED,Automatic,Rear,Diesel,4.5,132782.0,Silver / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.1
Hyundai,2014,Santa,2014 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,AWD,Diesel,7.3,138870.0,Black / -,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,2.2
Jeep,2021,Cherokee,2021 Jeep Cherokee s 4x4,USED,Automatic,Other,Unleaded,7.6,25574.0,Grey / Black Leather,-,Wagon,missing_dr,missing_seats,VIC,4.0,2.2
Nissan,2017,X-Trail,2017 Nissan X-Trail TI (4X4),USED,Automatic,4WD,Unleaded,8.3,51942.0,Red / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.5
Holden,2007,Crewman,2007 Holden Crewman SS,USED,Automatic,Rear,Unleaded,15.3,442650.0,Blue / Black,8 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,8.0,6.0
Mitsubishi,2018,ASX,2018 Mitsubishi ASX LS (2WD),USED,Automatic,Front,Unleaded,7.6,16888.0,White / Black With Red Trim,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.0
Subaru,2022,WRX,2022 Subaru WRX TS (awd),USED,Automatic,AWD,Premium,8.5,16173.0,Grey / Black,4 cyl,Sedan,4 Doors, 5 Seats,TAS,4.0,2.4
Mitsubishi,2014,Pajero,2014 Mitsubishi Pajero GLS LWB (4X4),USED,Automatic,4WD,Diesel,9.0,220183.0,White / -,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,3.2
Holden,2011,Captiva,2011 Holden Captiva LX (4X4),USED,Automatic,4WD,Unleaded,11.5,148451.0,White / -,6 cyl,SUV,4 Doors, 7 Seats,NSW,6.0,3.2
Ford,2014,Ranger,2014 Ford Ranger XL 2.2 HI-Rider (4X2),USED,Automatic,Rear,Diesel,8.9,209914.0,Yellow / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.2
Nissan,2020,X-Trail,2020 Nissan X-Trail ST (4WD) (5YR),USED,Automatic,4WD,Unleaded,8.3,50994.0,Silver / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.5
Holden,2016,Commodore,2016 Holden Commodore SS-V Redline Reserve Edition,USED,Automatic,Rear,Premium,11.8,105138.0,Grey / Grey,8 cyl,Wagon,4 Doors, 5 Seats,VIC,8.0,6.2
Isuzu,2015,D-MAX,2015 Isuzu D-MAX SX (4x4),USED,Automatic,Other,-,7.6,144662.0,White / -,-,Ute / Tray,missing_dr,missing_seats,NSW,4.0,2.2
Mercedes-Benz,2008,R320,2008 Mercedes-Benz R320 CDI Luxury (awd),USED,Automatic,AWD,Diesel,9.5,166711.0,Silver / Black,6 cyl,SUV,4 Doors, 6 Seats, SA,6.0,3.0
Kia,2016,Sorento,2016 Kia Sorento SI (4X2),USED,Automatic,Front,Unleaded,9.9,182928.0,White / -,6 cyl,SUV,4 Doors, 7 Seats,QLD,6.0,3.3
Mitsubishi,2014,Pajero,2014 Mitsubishi Pajero GLX LWB (4X4),USED,Automatic,4WD,Diesel,9.0,282674.0,- / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,3.2
Hyundai,2013,Veloster,2013 Hyundai Veloster +,USED,Automatic,Front,Unleaded,6.4,109453.0,Red / -,4 cyl,Hatchback,3 Doors, 4 Seats, SA,4.0,1.6
Jaguar,2011,XF,2011 Jaguar XF 3.0 V6 Diesel S Luxury,USED,Automatic,Rear,Diesel,6.8,133360.0,Black / Cream Leather,6 cyl,Sedan,4 Doors, 5 Seats,NSW,6.0,3.0
Toyota,2021,RAV4,2021 Toyota RAV4 Cruiser (2WD),USED,Automatic,Front,Unleaded,6.5,32823.0,White / -,4 cyl,SUV,5 Doors, 5 Seats,NSW,4.0,2.0
Mazda,2021,CX-9,2021 Mazda CX-9 GT (fwd),USED,Automatic,Front,Unleaded,8.4,28426.0,Red / -,4 cyl,SUV,4 Doors, 7 Seats,VIC,4.0,2.5
Mazda,2013,BT-50,2013 Mazda BT-50 GT (4X4),USED,Automatic,4WD,Diesel,9.2,185018.0,Silver / Black Leather,5 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,5.0,3.2
Audi,2014,Q5,2014 Audi Q5 2.0 TDI Quattro,USED,Automatic,Other,Diesel,7.6,123500.0,Grey / -,-,Wagon,missing_dr,missing_seats,QLD,4.0,2.2
Subaru,2013,Forester,2013 Subaru Forester 2.5I,USED,Automatic,AWD,Unleaded,8.1,238473.0,Green / Grey,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.5
Kia,2013,RIO,2013 Kia RIO S,USED,Manual,Front,Unleaded,5.7,131990.0,Silver / Grey,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.4
Audi,2010,A3,2010 Audi A3 Sportback 1.8 Tfsi Ambition,USED,Automatic,Front,Premium,8.5,145374.0,Black / Black,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.8
Mercedes-Benz,2022,S450L,2022 Mercedes-Benz S450L 4Matic (hybrid),USED,Automatic,AWD,Hybrid,8.7,6238.0,Red / Black Leather,6 cyl,Sedan,4 Doors, 5 Seats,VIC,6.0,3.0
Toyota,2012,Hilux,2012 Toyota Hilux SR (4X4),USED,Manual,4WD,Diesel,8.3,387774.0,White / Grey,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,3.0
Toyota,2014,Kluger,2014 Toyota Kluger GX (4X2),USED,Automatic,Front,Unleaded,10.2,152082.0,Grey / Black,6 cyl,SUV,4 Doors, 7 Seats,VIC,6.0,3.5
Hyundai,2019,Venue,2019 Hyundai Venue Active,USED,Automatic,Front,Unleaded,7.2,47810.0,Black / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,1.6
Toyota,2005,Corolla,2005 Toyota Corolla Ascent,USED,Automatic,Front,Unleaded,7.8,235572.0,Blue / Black,4 cyl,Wagon,4 Doors, 5 Seats,NSW,4.0,1.8
Subaru,2012,XV,2012 Subaru XV 2.0I-L,USED,Manual,AWD,Unleaded,7.3,167000.0,Orange / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Subaru,2020,Forester,2020 Subaru Forester 2.0E-L Hybrid (awd),USED,Automatic,AWD,Hybrid,6.7,50111.0,Black / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Peugeot,2005,407,2005 Peugeot 407 ST Executive,USED,Manual,Front,Premium,12.9,162170.0,Blue / Black Leather,4 cyl,Sedan,4 Doors, 5 Seats,QLD,4.0,2.2
Kia,2016,Cerato,2016 Kia Cerato S,USED,Automatic,Front,Unleaded,7.1,164785.0,White / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.8
Renault,2022,Koleos,2022 Renault Koleos Intens (4X2),USED,Automatic,Front,Unleaded,8.1,6530.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.5
Subaru,2017,Outback,2017 Subaru Outback 3.6R,USED,Automatic,AWD,Premium,9.9,62033.0,Silver / -,6 cyl,SUV,4 Doors, 5 Seats,VIC,6.0,3.6
Jaguar,2017,F-Pace,2017 Jaguar F-Pace 20D R-Sport,USED,Automatic,AWD,Diesel,5.3,64900.0,Silver / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Kia,2019,Cerato,2019 Kia Cerato S,USED,Automatic,Front,Unleaded,7.4,50974.0,Silver / -,4 cyl,Sedan,4 Doors, 5 Seats, WA,4.0,2.0
Mazda,2020,BT-50,2020 Mazda BT-50 XT (4X4),USED,Automatic,4WD,Diesel,8.0,82342.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,3.0
Lexus,2019,RX350,2019 Lexus RX350 F-Sport,USED,Automatic,AWD,-,9.6,32991.0,Grey / F Sport Black,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.5
Toyota,2014,Estima,2014 Toyota Estima Aeras,USED,Automatic,Other,-,7.6,90390.0,Grey / Black,-,Wagon,missing_dr,missing_seats,NSW,4.0,2.2
Honda,2014,Jazz,2014 Honda Jazz VTI,USED,Automatic,Front,Unleaded,5.8,86674.0,Red / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.5
Volkswagen,2019,Tiguan,2019 Volkswagen Tiguan 162 TSI Highline,USED,Automatic,AWD,Premium,8.1,115383.0,Silver / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Kia,2016,Sportage,2016 Kia Sportage GT-Line (awd),USED,Automatic,AWD,Unleaded,8.5,94040.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.4
Land,2017,Rover,2017 Land Rover Discovery TD6 HSE Luxury,USED,Automatic,4WD,Diesel,7.2,77980.0,White / Black,6 cyl,SUV,4 Doors, 5 Seats,VIC,6.0,3.0
Volkswagen,2017,Amarok,2017 Volkswagen Amarok V6 TDI 550 Highline,USED,Automatic,4WD,Diesel,7.8,151741.0,White / Black,6 cyl,Ute / Tray,4 Doors, 5 Seats, WA,6.0,3.0
Toyota,2013,HiAce,2013 Toyota HiAce,USED,Automatic,Other,Diesel,7.6,142352.0,White / Charcoal,-,missing_btc,missing_dr,missing_seats,NSW,4.0,2.2
Toyota,2019,Yaris,2019 Toyota Yaris Ascent,USED,Automatic,Front,Unleaded,6.4,54335.0,Silver / 3Sfj20,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.3
Mazda,2009,CX-9,2009 Mazda CX-9 Classic,USED,Automatic,4WD,Unleaded,13.0,229224.0,Green / Grey,6 cyl,SUV,4 Doors, 7 Seats,NSW,6.0,3.7
Mercedes-Benz,2009,E350,2009 Mercedes-Benz E350 Elegance,USED,Automatic,Rear,Premium,9.4,192472.0,Gold / -,6 cyl,Sedan,4 Doors, 5 Seats, SA,6.0,3.5
Mercedes-Benz,2002,C180,2002 Mercedes-Benz C180 Avantgarde,USED,Automatic,Rear,Unleaded,9.5,275123.0,Silver / -,4 cyl,Sedan,4 Doors, 5 Seats,VIC,4.0,2.0
Hyundai,2020,Iload,2020 Hyundai Iload 3S Liftback,USED,Automatic,Rear,Diesel,8.8,80431.0,White / Grey Cloth,4 cyl,Commercial,4 Doors, 3 Seats,VIC,4.0,2.5
Ford,2021,Ranger,2021 Ford Ranger XLT 2.0 (4X4),USED,Automatic,4WD,Diesel,7.4,15310.0,White / Charcoal,4 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,4.0,2.0
BMW,2013,3,2013 BMW 3 Series 28i,USED,Automatic,Rear,Unleaded,7.6,149501.0,White / -,-,missing_btc,missing_dr,missing_seats,NSW,4.0,2.2
Renault,2020,Koleos,2020 Renault Koleos ZEN X-Tronic (4X2),USED,Automatic,Front,Unleaded,8.1,48013.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.5
Suzuki,2023,Ignis,2023 Suzuki Ignis GLX,NEW,Automatic,Front,Premium,4.9,20.0,Brown / Black,4 cyl,SUV,4 Doors, 4 Seats,QLD,4.0,1.2
Kia,2017,Stinger,2017 Kia Stinger GT (black Leather),USED,Automatic,Rear,Unleaded,10.2,66104.0,Black / Red,6 cyl,Sedan,4 Doors, 5 Seats,NSW,6.0,3.3
Ford,2022,Mustang,2022 Ford Mustang GT 5.0 V8,USED,Manual,Rear,Premium,13.0,3750.0,Grey / Asher Gray,8 cyl,Hatchback,2 Doors, 4 Seats,NSW,8.0,5.0
Volkswagen,2018,Caddy,2018 Volkswagen Caddy Maxi Crewvan TSI220,USED,Automatic,Front,Premium,6.0,51911.0,White / -,4 cyl,Commercial,3 Doors, 5 Seats,VIC,4.0,1.4
Mazda,2023,BT-50,2023 Mazda BT-50 XT (4X4),NEW,Automatic,4WD,Diesel,8.0,12.0,Grey / Black Cloth,4 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,4.0,3.0
Ford,2013,Falcon,2013 Ford Falcon XR6,USED,Automatic,Rear,Unleaded,9.9,249825.0,Grey / Black  Cloth,6 cyl,Sedan,4 Doors, 5 Seats, SA,6.0,4.0
Mitsubishi,2019,Triton,2019 Mitsubishi Triton GLX Plus (4X4),USED,Manual,4WD,Diesel,7.2,117176.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,4.0,2.4
Honda,2014,CR-V,2014 Honda CR-V DTI-L (4X4),USED,Automatic,4WD,Diesel,6.9,187514.0,Silver / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.2
Nissan,2017,Qashqai,2017 Nissan Qashqai ST-L,USED,Automatic,Front,Unleaded,6.9,85157.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
GWM,2023,UTE,2023 GWM UTE Cannon-L (4X4),NEW,Automatic,4WD,Diesel,9.4,10.0,Silver / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,4.0,2.0
Nissan,2018,Navara,2018 Nissan Navara ST (4X4),USED,Automatic,4WD,Diesel,7.0,86980.0,White / Grey,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.3
Toyota,2017,Hilux,2017 Toyota Hilux SR (4X4),USED,Automatic,4WD,Diesel,9.0,256000.0,White / -,4 cyl,Ute / Tray,2 Doors, 2 Seats,NSW,4.0,2.8
Mercedes-Benz,2015,E250,2015 Mercedes-Benz E250,USED,Automatic,Rear,Premium,6.5,69114.0,White / -,4 cyl,Convertible,2 Doors, 4 Seats,QLD,4.0,2.0
Kia,2021,Stonic,2021 Kia Stonic GT Line,USED,Automatic,Front,-,5.4,33213.0,White / Black,3 cyl,SUV,4 Doors, 5 Seats,VIC,3.0,1.0
Hyundai,2010,Iload,2010 Hyundai Iload Crew,USED,Manual,Rear,Diesel,8.5,204634.0,Grey / Grey,4 cyl,Commercial,4 Doors, 6 Seats,VIC,4.0,2.5
Volvo,2019,XC60,2019 Volvo XC60 T5 Momentum,USED,Automatic,AWD,Premium,7.8,64721.0,Black / Black,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Subaru,2016,Impreza,2016 Subaru Impreza 2.0I-S (awd),USED,Automatic,AWD,Unleaded,6.8,91101.0,Silver / Black,4 cyl,Hatchback,5 Doors, 5 Seats,QLD,4.0,2.0
Iveco,2019,Daily,2019 Iveco Daily 35S17 Blue Edition (3520L),USED,Automatic,Rear,Diesel,7.6,347128.0,White / -,4 cyl,Commercial,2 Doors, 3 Seats,NSW,4.0,2.3
Skoda,2022,Kodiaq,2022 Skoda Kodiaq Sportline (4X4) 132TSI,DEMO,Automatic,4WD,Premium,8.2,1500.0,Black / Black,4 cyl,SUV,4 Doors, 7 Seats,TAS,4.0,2.0
Hyundai,2012,IX35,2012 Hyundai IX35 Highlander (awd),USED,Automatic,AWD,Diesel,7.5,108201.0,Silver / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Mercedes-Benz,2019,CLA200,2019 Mercedes-Benz CLA200 Shooting Brake,USED,Automatic,Front,Premium,6.1,97072.0,White / Artico Man-Made Leather Sports Seat Black,4 cyl,Wagon,4 Doors, 5 Seats,VIC,4.0,1.6
Volkswagen,2012,Passat,2012 Volkswagen Passat 125 TDI Highline,USED,Automatic,Front,Diesel,4.9,99754.0,White / -,4 cyl,Wagon,4 Doors, 5 Seats,NSW,4.0,2.0
Hyundai,2018,Tucson,2018 Hyundai Tucson Elite (awd),USED,Automatic,AWD,Unleaded,7.7,189119.0,Grey / Black Leather,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,1.6
Toyota,2023,Land,2023 Toyota Land Cruiser,USED,Manual,Other,-,7.6,689.0,Grey / -,-,Ute / Tray,missing_dr,missing_seats,NSW,4.0,2.2
Chrysler,2012,300,2012 Chrysler 300 Limited,USED,Automatic,Rear,Diesel,7.1,175774.0,Grey / Grey,6 cyl,Sedan,4 Doors, 5 Seats, WA,6.0,3.0
Volkswagen,2023,T-Cross,2023 Volkswagen T-Cross 85Tfsi Style (restricted Feat),DEMO,Automatic,Front,Premium,5.4,10.0,Grey / Black/Grey,3 cyl,SUV,4 Doors, 5 Seats,NSW,3.0,1.0
Ram,2022,1500,2022 Ram 1500 Limited Rambox (hybrid),NEW,Automatic,4WD,Hybrid,12.2,41.0,Silver / -,8 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,8.0,5.7
Mitsubishi,2013,ASX,2013 Mitsubishi ASX (2WD),USED,Automatic,Front,Unleaded,7.9,184515.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.0
Nissan,2014,Qashqai,2014 Nissan Qashqai ST (4X2),USED,Automatic,Front,Unleaded,6.9,97380.0,Silver / -,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.0
Mazda,2017,3,2017 Mazda 3 SP25,USED,Automatic,Front,Unleaded,6.1,45799.0,Black / Black,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,2.5
Volkswagen,2019,Tiguan,2019 Volkswagen Tiguan 132 TSI Comfortline,USED,Automatic,AWD,Premium,7.5,52385.0,Black / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Ford,2014,Territory,2014 Ford Territory TS (rwd),USED,Automatic,Rear,Diesel,8.2,115512.0,Grey / -,6 cyl,SUV,4 Doors, 7 Seats, WA,6.0,2.7
Kia,2020,Stinger,2020 Kia Stinger GT (black Leather),USED,Automatic,Rear,Unleaded,10.2,16794.0,White / -,6 cyl,Sedan,4 Doors, 5 Seats,NSW,6.0,3.3
Toyota,2010,Yaris,2010 Toyota Yaris YRS,USED,Automatic,Front,Unleaded,6.7,220102.0,Silver / Grey,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,1.5
Jeep,2013,Compass,2013 Jeep Compass Sport (4X4),USED,Automatic,4WD,Premium,8.5,152000.0,Black / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.4
Subaru,2018,Impreza,2018 Subaru Impreza 2.0I (awd),USED,Automatic,AWD,Unleaded,6.6,102390.0,Grey / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.0
Chery,2023,Omoda5,2023 Chery Omoda5 Bold,DEMO,Automatic,Front,-,6.9,25.0,Silver / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,1.5
Ssangyong,2023,Musso,2023 Ssangyong Musso Ultimate Luxury,NEW,Automatic,Other,Diesel,7.6,6.0,Black / Black,-,Ute / Tray,missing_dr,missing_seats,VIC,4.0,2.2
Subaru,2019,Liberty,2019 Subaru Liberty 2.5I Premium,USED,Automatic,AWD,Unleaded,7.3,142454.0,Grey / -,4 cyl,Sedan,4 Doors, 5 Seats,VIC,4.0,2.5
Holden,2011,Commodore,2011 Holden Commodore SS,USED,Automatic,Rear,Premium,14.6,291545.0,Green / Black,8 cyl,Sedan,4 Doors, 5 Seats,VIC,8.0,6.0
Hyundai,2009,Tucson,2009 Hyundai Tucson City SX,USED,Automatic,Front,Unleaded,9.2,208005.0,Black / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Toyota,2019,C-HR,2019 Toyota C-HR Koba (2WD),USED,Automatic,Front,Premium,6.4,59750.0,Silver / Black,4 cyl,SUV,5 Doors, 5 Seats, WA,4.0,1.2
Holden,2016,Trax,2016 Holden Trax LS,USED,Automatic,Front,Unleaded,7.6,74333.0,Black / Cloth,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,1.8
Subaru,2018,Outback,2018 Subaru Outback 2.5I Premium,USED,Automatic,AWD,Unleaded,7.3,75796.0,Silver / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.5
Honda,2016,HR-V,2016 Honda HR-V VTI-S,USED,Automatic,Front,Unleaded,6.9,78023.0,Grey / -,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,1.8
LDV,2015,G10,2015 LDV G10,USED,Automatic,Rear,Unleaded,11.7,100360.0,White / -,4 cyl,Commercial,4 Doors, 2 Seats,NSW,4.0,2.0
Toyota,2015,Fortuner,2015 Toyota Fortuner GXL,USED,Automatic,AWD,Diesel,8.6,65605.0,White / Black,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,2.8
Ford,2016,Everest,2016 Ford Everest Trend (rwd),USED,Automatic,Rear,Diesel,8.5,97013.0,Blue / Black,5 cyl,SUV,4 Doors, 7 Seats, WA,5.0,3.2
Mazda,2010,2,2010 Mazda 2 NEO,USED,Automatic,Front,Unleaded,6.8,24858.0,Green / -,4 cyl,Hatchback,5 Doors, 5 Seats,QLD,4.0,1.5
Hyundai,2020,Tucson,2020 Hyundai Tucson Active (2WD),USED,Automatic,Front,Unleaded,7.9,38341.0,Blue / Grey,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Subaru,2020,Outback,2020 Subaru Outback 2.5I Premium AWD,USED,Automatic,AWD,Unleaded,7.3,100580.0,Blue / Black,4 cyl,SUV,4 Doors, 5 Seats,ACT,4.0,2.5
Mini,2017,Cooper,2017 Mini Cooper S,USED,Automatic,Front,Premium,5.5,28000.0,White / -,4 cyl,Hatchback,3 Doors, 4 Seats,NSW,4.0,2.0
Hyundai,2020,I30,2020 Hyundai I30 Active,USED,Automatic,Front,Unleaded,7.4,54646.0,White / Black,4 cyl,Hatchback,4 Doors, 5 Seats,NSW,4.0,2.0
Holden,2003,Rodeo,2003 Holden Rodeo LX (4X4),USED,Manual,4WD,Diesel,7.6,268252.0,Silver / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,4.0,3.0
Mercedes-Benz,2016,CLA200,2016 Mercedes-Benz CLA200 S/Brake Orangeart ED,USED,Automatic,Front,Premium,5.7,67857.0,Silver / Black,4 cyl,Wagon,4 Doors, 5 Seats,VIC,4.0,1.6
Mazda,2016,CX-9,2016 Mazda CX-9 Azami (fwd),USED,Automatic,Front,Unleaded,8.4,64404.0,Grey / Black,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,2.5
Ford,2018,Endura,2018 Ford Endura ST-Line (awd),USED,Automatic,AWD,Diesel,6.7,75406.0,Red / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.0
Citroen,2015,Grand,2015 Citroen Grand C4 Picasso Exclusive,USED,Automatic,Front,Diesel,4.5,101686.0,Blue / Grey,4 cyl,Wagon,4 Doors, 7 Seats, SA,4.0,2.0
Kia,2011,Optima,2011 Kia Optima Platinum,USED,Automatic,Front,Unleaded,7.9,268865.0,Grey / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.4
Mitsubishi,2015,Pajero,2015 Mitsubishi Pajero GLS LWB (4X4),USED,Automatic,4WD,Diesel,9.0,145762.0,- / -,4 cyl,SUV,4 Doors, 7 Seats, SA,4.0,3.2
Ford,2019,Ranger,2019 Ford Ranger XL 3.2 (4X4),USED,Automatic,4WD,Diesel,8.7,45837.0,White / Black,5 cyl,Ute / Tray,2 Doors, 2 Seats,VIC,5.0,3.2
Lexus,2014,IS250,2014 Lexus IS250 F Sport,USED,Automatic,Rear,Premium,9.2,139898.0,Grey / -,6 cyl,Sedan,4 Doors, 5 Seats,VIC,6.0,2.5
Volvo,2014,XC90,2014 Volvo XC90 D5 R-Design,USED,Automatic,AWD,Diesel,9.6,194177.0,White / -,5 cyl,SUV,4 Doors, 7 Seats,NSW,5.0,2.4
Toyota,1999,Hilux,1999 Toyota Hilux (4X4),USED,Manual,4WD,Diesel,7.6,299986.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,4.0,3.0
Nissan,2016,Navara,2016 Nissan Navara ST (4X4),USED,Automatic,4WD,Diesel,7.0,148624.0,White / -,4 cyl,Ute / Tray,2 Doors, 4 Seats,VIC,4.0,2.3
Audi,2009,A4,2009 Audi A4 2.7 TDI,USED,Automatic,Front,Diesel,6.6,186141.0,Silver / -,6 cyl,Sedan,4 Doors, 5 Seats,ACT,6.0,2.7
Hyundai,2017,Iload,2017 Hyundai Iload 3S Liftback,USED,Automatic,Rear,Diesel,8.8,186465.0,White / Grey,4 cyl,Commercial,4 Doors, 3 Seats,NSW,4.0,2.5
Volkswagen,2018,Polo,2018 Volkswagen Polo 70TSI Trendline,USED,Automatic,Front,Premium,5.0,31137.0,White / -,3 cyl,Hatchback,5 Doors, 5 Seats,NSW,3.0,1.0
Mitsubishi,2013,Lancer,2013 Mitsubishi Lancer ES,USED,Automatic,Front,Unleaded,7.2,126551.0,Silver / Black,4 cyl,Sedan,4 Doors, 5 Seats,VIC,4.0,2.0
Ford,2011,Falcon,2011 Ford Falcon XR6T,USED,Automatic,Rear,Unleaded,12.5,204221.0,Grey / -,6 cyl,Ute / Tray,2 Doors, 2 Seats,NSW,6.0,4.0
Holden,2015,Commodore,2015 Holden Commodore SS-V,USED,Manual,Rear,Premium,11.5,126306.0,Black / Dark Grey,8 cyl,Sedan,4 Doors, 5 Seats,NSW,8.0,6.2
Skoda,2022,Kamiq,2022 Skoda Kamiq Signature,USED,Automatic,Front,Premium,5.6,14399.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,1.5
Skoda,2022,Octavia,2022 Skoda Octavia Limited Edition 140TSI,DEMO,Automatic,Front,Premium,6.3,1502.0,White / Black/Grey,4 cyl,Wagon,4 Doors, 5 Seats,NSW,4.0,2.0
Mazda,2009,3,2009 Mazda 3 NEO Sport,USED,Automatic,Front,Unleaded,8.4,257953.0,Blue / Black,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,2.0
Holden,2015,Captiva,2015 Holden Captiva 7 LTZ (4X4),USED,Automatic,AWD,Diesel,8.1,97643.0,White / -,4 cyl,SUV,4 Doors, 7 Seats,VIC,4.0,2.2
Holden,2006,Calais,2006 Holden Calais,USED,Automatic,Rear,Premium,14.0,181600.0,White / -,8 cyl,Sedan,4 Doors, 5 Seats, SA,8.0,6.0
Ford,2017,Ranger,2017 Ford Ranger XLT 3.2 (4X4),USED,Manual,4WD,Diesel,8.3,69655.0,White / Black,5 cyl,Ute / Tray,4 Doors, 4 Seats,VIC,5.0,3.2
Mazda,2016,CX-9,2016 Mazda CX-9 GT (fwd),USED,Automatic,Front,Unleaded,8.4,85000.0,Black / Black,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,2.5
Toyota,2023,Landcruiser,2023 Toyota Landcruiser 70 Series LC79 GXL,USED,Manual,AWD,Diesel,10.7,1256.0,Blue / Grey,8 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,8.0,4.5
Holden,2012,Cruze,2012 Holden Cruze SRI V,USED,Automatic,Front,Unleaded,6.9,202500.0,Grey / Black,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,1.4
Toyota,2017,Camry,2017 Toyota Camry Altise,USED,Automatic,Front,Unleaded,7.9,89683.0,Grey / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.5
Subaru,2008,Liberty,2008 Subaru Liberty 2.5I,USED,Manual,AWD,Unleaded,9.0,264188.0,Grey / Black,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.5
BMW,2011,X6,2011 BMW X6 Xdrive 50I,USED,Automatic,AWD,Premium,12.5,168282.0,Blue / -,8 cyl,SUV,4 Doors, 4 Seats,QLD,8.0,4.4
